data0 CO2,data1 CO2
2032,2034
2032,2041
2043,2044
2038,2041
2034,2036
2026,2031
2028,2040
2034,2036
2031,2036
2033,2036
2027,2034
2039,2047
2034,2029
2022,2024
2021,2025
2021,2025
2032,2039
2038,2034
2024,2026
2017,2025
2016,2022
1961,1928
1878,1881
1859,1883
1878,1904
1891,1908
1899,1916
1902,1910
1890,1905
1888,1898
1879,1898
1887,1903
1889,1899
1888,1900
1886,1897
1881,1894
1889,1898
1883,1886
1877,1890
1882,1894
1880,1889
1881,1895
1880,1885
1872,1885
1874,1889
1872,1887
1874,1889
1874,1885
1873,1891
1878,1895
1874,1889
1877,1893
1874,1883
1873,1889
1876,1887
1870,1883
1872,1886
1873,1882
1869,1879
1867,1878
1865,1876
1869,1882
1870,1877
1869,1881
1868,1879
1862,1871
1861,1878
1860,1872
1861,1883
1867,1884
1863,1880
1866,1879
1864,1875
1865,1884
1871,1882
1863,1880
1871,1884
1864,1871
1869,1883
1873,1885
1871,1879
1874,1885
1874,1880
1873,1889
1876,1885
1872,1885
1879,1891
1880,1889
1879,1891
1879,1890
1873,1889
1881,1897
1878,1887
1872,1889
1876,1892
1876,1893
1882,1894
1878,1885
1879,1897
1887,1897
1882,1892
1880,1886
1874,1882
1876,1892
1882,1894
1883,1899
1895,1907
1890,1901
1888,1901
1889,1902
1886,1902
1889,1905
1889,1905
1890,1905
1897,1913
1898,1917
1906,1920
1898,1914
1885,1914
1879,1914
1862,1910
1856,1912
1837,1916
1823,1917
1811,1919
1795,1919
1797,1930
1793,1924
1797,1923
1802,1918
1823,1934
1853,1940
1865,1932
1871,1923
1879,1918
1888,1920
1906,1925
1906,1918
1908,1921
1918,1921
1928,1925
1938,1919
1940,1915
1954,1914
1971,1916
1990,1924
2002,1926
2004,1921
2011,1927
2010,1919
2008,1925
2011,1926
2006,1924
2016,1927
2022,1927
2034,1932
2053,1934
2061,1933
2075,1934
2082,1927
2081,1928
2081,1930
2066,1930
2053,1932
2031,1928
2008,1937
1995,1941
1971,1942
1958,1940
1940,1936
1932,1944
1935,1952
1928,1951
1925,1953
1915,1945
1907,1950
1904,1952
1890,1949
1885,1954
1880,1951
1870,1956
1873,1958
1870,1957
1879,1958
1886,1957
1892,1957
1905,1956
1908,1953
1922,1961
1923,1951
1918,1956
1919,1953
1906,1946
1914,1962
1915,1966
1912,1972
